Name,"Latitude, Longitude, Zoom"
All Localities,"41.7394,-70.8980,10"
Swansea,"41.748158,-71.189768,13"
New Bedford,"41.634048,-70.927658,14"
Fall River,"41.7015,-71.1550,13"
Plymouth,"41.9584,-70.6673,13"
Brockton,"42.080858, -71.017211,11"
