Name,"Latitude, Longitude, Zoom"
Downtown Boston,"42.3501,-71.0689,14"
Chelsea,"42.3918,-71.0398456,14"
Dorchester,"42.301,-71.08131,14"
Jamaica Plain,"42.3097,-71.1151,13"
Roxbury,"42.327871,-71.09138,14"
Allston,"42.359,-71.1314,15"
All Localities,"42.3278719,-71.091385,11"
Framingham,"42.279390204,-71.416229083,13"
Cambridge,"42.37390235,-71.109729,15"
