Name,"Latitude, Longitude, Zoom"
Worcester,"42.2626,-71.8023,13"
Springfield,"42.1015,-72.5898,12"
Northampton,"42.3251,-72.6412,13"
Fitchburg,"42.5834,-71.8023,13"
Greenfield,"42.6374,-72.5678,13"
All Localities,"42.2626,-71.9057,10"
