Name,"Latitude, Longitude, Zoom"
All Localities,"41.693169,-70.305459,11"
Barnstable,"41.7003,-70.3002,13"
Bourne,"41.7413,-70.5989,13"
Harwich,"41.6716,-70.0622,13"
Provincetown,"42.0584,-70.1786,13"
Martha's Vineyard,"41.3805,-70.6455,12"
Nantucket Island,"41.2835,-70.0995,12"
