Name,"Latitude, Longitude, Zoom"
Beverly ,"42.552158, -70.882683,13"
Gloucester,"42.616131, -70.668930,13"
Lawrence,"42.707035, -71.163114,13"
Salem,"42.519539, -70.896713,13"
All Localities,"42.591,-70.7910,11"
Lowell,"42.640999,-71.316711,13"
